"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","840","USA","United States of America","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S287","Personal, cultural and recreational services","-","-","-","-","USM","Million US dollar","Coverage","Starting with 1999, the US BEA reclassified film and television tape distribution services from personal, cultural and recreational services to other royalties and license fees."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S253","Insurance services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200","Memo item: Total services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-2019)","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC4","Postal and courier services","-","-","-","-","USM","Million US dollar","Coverage","Courier services are not included in "Postal and courier services"."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-2019)","356","IND","India","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","-","-","-","-","USM","Million US dollar","Coverage","Adjusted to fob valuation."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","840","USA","United States of America","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting with 1999, the US BEA reclassified film and television tape distribution services from personal, cultural and recreational services to other royalties and license fees."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","840","USA","United States of America","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S266","Royalties and license fees","-","-","-","-","USM","Million US dollar","Coverage","Starting with 1999, the US BEA reclassified film and television tape distribution services from personal, cultural and recreational services to other royalties and license fees."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","a) May cover transactions belonging to other services items for 2000-2003.b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S200OS","Other commercial services (Commercial services - Travel & Transport)","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S205","Transportation","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-2019)","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","-","-","-","-","USM","Million US dollar","Coverage","Insurance services transactions are considered to be unaffiliated even when they are between affiliated companies because the services are considered to be provided to the policyholders who pay the insurance premiums and who are unaffiliated with either company. The only insurance services considered to be affiliated are primary insurance transactions between a U.S. company that is not an insurance company and an affiliated foreign insurance company such as a captive foreign insurance affiliate. Data on these affiliated insurance services are not separately available."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S268","Other business services","-","-","-","-","USM","Million US dollar","Coverage","a) Figures are estimated by UNCTAD-WTO. They include an estimate for Information Technology Enabled Services (ITES) and Business Process Outsourcing Services (BPO) which are classified under "software" by the Reserve Bank of India (source:  RBI, Survey on Computer Software & Information Technology Services Exports, various issues). b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-2019)","356","IND","India","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC22","Freight (Air)","-","-","-","-","USM","Million US dollar","Coverage","Adjusted to fob valuation."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S245","Communications services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S247","Telecommunication services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S249","Construction","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S981","Memo item: Other services","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AM5","Commercial services imports by sector – annual (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S291","Memo item: Government services n.i.e.","-","-","-","-","USM","Million US dollar","Coverage","Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_AX5","Commercial services exports by sector – annual  (1980-2013)","356","IND","India","000","","World","BOP5","Services - Extended Balance of Payments Classification (EBOPS 2002)","S263","Computer services","-","-","-","-","USM","Million US dollar","Coverage","a) Figures are estimated by UNCTAD-WTO. They are estimated based on data reported on computer services by the Reserve Bank of India and exclude estimates for Information Technology Enabled Services (ITES) and Business Process Outsourcing Services (BPO), (source:  RBI, Survey on Computer Software & Information Technology Services Exports, various issues), which have been included under other business services. b) Starting from 2009, data converted from BPM6 to BPM5 methodology."
"Trade in commercial services","ITS_CS_QX","Commercial services exports by main sector – quarterly","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","-","-","-","-","USM","Million US dollar","Coverage","Travel figures revised from 2014 due to a new compilation methodology."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Trade system","General trade"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","-","-","-","-","USM","Million US dollar","Trade system","1990-1992: CT data reported in SITC Rev.2"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Trade system","General trade"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","-","-","-","-","USM","Million US dollar","Trade system","Prior to 1992: CT data reported in HS"
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information serv","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information serv","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GS","Memo item: Goods and services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GS","Memo item: Goods and services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","GSOX","Memo item: Goods and commercial services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX","Commercial services exports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MX_GR","Commercial services exports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM","Commercial services imports of selected economies – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","-","-","-","-","USM","Million US dollar","Method of valuation","Seasonally adjusted."
"Trade in commercial services","ITS_CS_MM_GR","Commercial services imports of selected economies (growth) – monthly","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","-","-","-","-","YOY","% change over the same period of the previous year","Method of valuation","Seasonally adjusted."
